origin_bin,policy,action,selected_train_days,selected_half_life_days,candidate_count,fit_plan,quick_validation_pr_auc,performance_drop,pair_confidence,momentum,validation_pr_auc
18144,momentum_skip_retrain,momentum_initial_full_search,7,7,9,full_9_grid,,,0.3,0.0,0.1418000752349026
18432,momentum_skip_retrain,momentum_full_rescan,7,3,9,full_9_grid,,,0.3,0.0044894221114582,0.15676481560643
18720,momentum_skip_retrain,momentum_full_rescan,7,3,9,full_9_grid,,,0.51,0.0151627513835446,0.1968320019581763
19008,momentum_skip_retrain,momentum_full_rescan,7,3,9,full_9_grid,,,0.657,0.008653343034295,0.1902967255108888
19296,momentum_skip_retrain,momentum_trigger_rescan,7,3,9,full_9_grid,0.1044329354078127,0.4512100240955695,0.7599,0.0107278302938587,0.2260561598237511
19584,momentum_skip_retrain,momentum_trigger_rescan,7,3,9,full_9_grid,0.1403867040823777,0.378974215116134,0.8319300000000001,0.0025412377441406,0.23452695230422
19872,momentum_skip_retrain,momentum_trigger_rescan,14,3,9,full_9_grid,0.1258406690839543,0.4634276877451668,0.3,0.0133776990539969,0.2791192824842099
20160,momentum_skip_retrain,momentum_full_rescan,7,3,9,full_9_grid,,,0.7076457,0.0251960820080417,0.3318915913850227
20448,momentum_skip_retrain,momentum_skip_hold,7,3,1,single_selected_config,0.3302197315536805,0.0050373672450252,0.7953519900000001,0.0171356994562265,0.3302197315536805
20736,momentum_skip_retrain,momentum_skip_hold,7,3,1,single_selected_config,0.3522553643194869,-0.0667302122199936,0.8567463930000001,0.0186056794491005,0.3522553643194869
21024,momentum_skip_retrain,momentum_skip_hold,7,3,1,single_selected_config,0.3906729377855547,-0.1090617130566221,0.8997224751,0.0245492476541906,0.3906729377855547
21312,momentum_skip_retrain,momentum_trigger_rescan,7,3,9,full_9_grid,0.2263462021597073,0.4206248238163053,0.92980573257,-0.0587045913626616,0.1949909665766827
21600,momentum_skip_retrain,momentum_skip_hold,7,3,1,single_selected_config,0.2698783565623699,-0.3840556888374457,0.950864012799,-0.0186269969581569,0.2698783565623699
21888,momentum_skip_retrain,momentum_skip_hold,7,3,1,single_selected_config,0.4302858937327688,-0.594369771676478,0.9656048089593,0.0350833632804098,0.4302858937327688
22176,momentum_skip_retrain,momentum_trigger_rescan,21,3,9,full_9_grid,0.1597439464003792,0.6287492833785785,0.3,-0.0851854064172353,0.1463345390086508
22464,momentum_skip_retrain,momentum_full_rescan,21,3,9,full_9_grid,,,0.51,-0.0652425929059643,0.1276251776289854
22752,momentum_skip_retrain,momentum_full_rescan,14,3,9,full_9_grid,,,0.30847425747,-0.0441911070243819,0.132554204328296
23040,momentum_skip_retrain,momentum_full_rescan,21,7,9,full_9_grid,,,0.3,-0.0291844934891937,0.1383851424212079
